url,title,date,id,tags,description
https://www.huffingtonpost.com/entry/james-reilly-usgs_us_5a6b89e1e4b0ddb658c651e5,Trump Names Former Astronaut And Oil Geologist To Lead Key Scientific Agency,2018-01-26,NO ID,Generic 1st 'CL' Future,"James Reilly, 63, has been tapped for director of the U.S. Geological Survey."
https://www.huffingtonpost.com/entry/ryan-zinke-offshore-drilling-florida-darren-soto_us_5a620bf1e4b0125fd63618c0,"Florida Waters Could Still Be Leased For Oil Drilling, Despite Ryan Zinke’s Tweet",2018-01-19,NO ID,Generic 1st 'CL' Future,"""It is not a formal action,"" a key Interior Department official said of Zinke's announcement."
https://www.huffingtonpost.com/entry/oil-tanker-east-china-sea_us_5a5c8c1de4b03c4189675c03,Stricken Tanker Leaks 8-Mile Long Oil Slick In East China Sea,2018-01-15,NO ID,Generic 1st 'CL' Future,A clean-up effort has begun and rescue teams have called a halt to the large-scale search for survivors.
https://www.huffingtonpost.com/entry/norway-climate-change-lawsuit-arctic-oil-greenpeace_us_5a58c906e4b02cebbfdb2d1a,Norway's Arctic Oil Lawsuit Offers Hope For A New Era Of Climate Litigation,2018-01-13,NO ID,Generic 1st 'CL' Future,The insatiable Norwegian thirst for Arctic oil flies in the face of the Paris global climate agreement
https://www.huffingtonpost.com/entry/new-york-city-sues-big-oil-companies_us_5a564c62e4b03bc4d03d4de8,"NYC Sues Big Oil Over Climate Impacts, Plans To Divest $5 Billion From Fossil Fuels",2018-01-10,NO ID,Generic 1st 'CL' Future,"“We’re going after those who have profited,"" said Mayor Bill de Blasio."
https://www.huffingtonpost.com/entry/rick-scott-offshore-oil-drilling-senate_us_5a54fb3ae4b0efe47ebd665a,Florida Gov. Rick Scott Has Repeatedly Flip-Flopped On Offshore Oil Drilling,2018-01-10,NO ID,Generic 1st 'CL' Future,Now the Republican is trying to burnish his green cred before running for Senate. But he has a history of bait-and-switch.
https://www.huffingtonpost.com/entry/coastal-protection-a-bipartisan-moment-for-resistance_us_5a501c7ce4b0ee59d41c0aae,Coastal Protection: A Bipartisan Moment For Resistance?,2018-01-06,NO ID,Generic 1st 'CL' Future,"By proposing to give the oil industry absolute priority over the rest of society, and open 90 percent of America’s coastal"
https://www.huffingtonpost.com/entry/second-ship-suspected-of-providing-oil-to-north-korea-seized_us_5a48fea7e4b06d1621b994b5,Second Ship Suspected Of Providing Oil To North Korea Seized,2017-12-31,NO ID,Generic 1st 'CL' Future,The United Nations has ramped up sanctions against the reclusive country in response to missile tests.
https://www.huffingtonpost.com/entry/south-korea-ship-seizure_us_5a461acae4b025f99e1adf35,South Korea Seizes Ship Suspected Of Transferring Oil To North Korea,2017-12-29,NO ID,Generic 1st 'CL' Future,Shipping oil to Pyongyang is in direct defiance of international sanctions.
https://www.huffingtonpost.com/entry/russia-korea-oil_us_5a46ad1fe4b025f99e1b6ba9,Report: Russian Tankers Fueled North Korea,2017-12-29,NO ID,Generic 1st 'CL' Future,"The sales of oil or oil products from Russia breach U.N. sanctions,"
